ModeloA,ModeloB,Estados Visitados,Tempo por Jogada,Profundidade
MinMax,Alpha-Beta,48,0.0007529258728027344,4
Alpha-Beta,MinMax,15,0.0002582073211669922,4
MinMax,Alpha-Beta,15,0.00031566619873046875,4
Alpha-Beta,MinMax,14,0.00022220611572265625,4
MinMax,Alpha-Beta,3,6.4849853515625e-05,4
Alpha-Beta,MinMax,4073,0.06783008575439453,5
MinMax,Alpha-Beta,19608,0.3580324649810791,5
Alpha-Beta,MinMax,2393,0.039470672607421875,5
MinMax,Alpha-Beta,18767,0.34142518043518066,5
Alpha-Beta,MinMax,3614,0.06743884086608887,5
MinMax,Alpha-Beta,19606,0.37083959579467773,5
Alpha-Beta,MinMax,2641,0.05271196365356445,5
MinMax,Alpha-Beta,19190,0.38754868507385254,5
Alpha-Beta,MinMax,3714,0.07735157012939453,5
MinMax,Alpha-Beta,18774,0.38541483879089355,5
Alpha-Beta,MinMax,5275,0.10194754600524902,5
MinMax,Alpha-Beta,18238,0.38152122497558594,5
Alpha-Beta,MinMax,5245,0.13732552528381348,5
MinMax,Alpha-Beta,17193,0.3441812992095947,5
Alpha-Beta,MinMax,5935,0.12144804000854492,5
MinMax,Alpha-Beta,12002,0.2446427345275879,5
Alpha-Beta,MinMax,3322,0.07478523254394531,5
MinMax,Alpha-Beta,12944,0.2682921886444092,5
Alpha-Beta,MinMax,4422,0.10208725929260254,5
MinMax,Alpha-Beta,13055,0.2771894931793213,5
Alpha-Beta,MinMax,2029,0.04659581184387207,5
MinMax,Alpha-Beta,5561,0.12035250663757324,5
Alpha-Beta,MinMax,1839,0.03527522087097168,5
MinMax,Alpha-Beta,5286,0.1080021858215332,5
Alpha-Beta,MinMax,632,0.011834859848022461,5
MinMax,Alpha-Beta,918,0.017831087112426758,5
Alpha-Beta,MinMax,264,0.0036427974700927734,5
MinMax,Alpha-Beta,228,0.003041505813598633,5
Alpha-Beta,MinMax,107,0.0017271041870117188,5
MinMax,Alpha-Beta,174,0.002493143081665039,5
Alpha-Beta,MinMax,56,0.0006527900695800781,5
MinMax,Alpha-Beta,70,0.0009069442749023438,5
Alpha-Beta,Iterative Deepening,4073,0.0728299617767334,5
Iterative Deepening,Alpha-Beta,3928,0.07957625389099121,5
Alpha-Beta,Iterative Deepening,2393,0.04457283020019531,5
Iterative Deepening,Alpha-Beta,3596,0.0645291805267334,5
Alpha-Beta,Iterative Deepening,3614,0.06505370140075684,5
Iterative Deepening,Alpha-Beta,3733,0.07450342178344727,5
Alpha-Beta,Iterative Deepening,2641,0.052915334701538086,5
Iterative Deepening,Alpha-Beta,4030,0.08667445182800293,5
Alpha-Beta,Iterative Deepening,3714,0.07903814315795898,5
Iterative Deepening,Alpha-Beta,4040,0.08910202980041504,5
Alpha-Beta,Iterative Deepening,5275,0.10800623893737793,5
Iterative Deepening,Alpha-Beta,6516,0.1384270191192627,5
Alpha-Beta,Iterative Deepening,5245,0.10913467407226562,5
Iterative Deepening,Alpha-Beta,6006,0.12393403053283691,5
Alpha-Beta,Iterative Deepening,5935,0.1351327896118164,5
Iterative Deepening,Alpha-Beta,7442,0.1612682342529297,5
Alpha-Beta,Iterative Deepening,3322,0.07294917106628418,5
Iterative Deepening,Alpha-Beta,4792,0.10149765014648438,5
Alpha-Beta,Iterative Deepening,4422,0.10097050666809082,5
Iterative Deepening,Alpha-Beta,5132,0.1114497184753418,5
Alpha-Beta,Iterative Deepening,2029,0.04594302177429199,5
Iterative Deepening,Alpha-Beta,2552,0.05145144462585449,5
Alpha-Beta,Iterative Deepening,1839,0.0429384708404541,5
Iterative Deepening,Alpha-Beta,2010,0.046479225158691406,5
Alpha-Beta,Iterative Deepening,632,0.01275491714477539,5
Iterative Deepening,Alpha-Beta,531,0.010134220123291016,5
Alpha-Beta,Iterative Deepening,264,0.0044825077056884766,5
Iterative Deepening,Alpha-Beta,235,0.004119873046875,5
Alpha-Beta,Iterative Deepening,107,0.002320528030395508,5
Iterative Deepening,Alpha-Beta,175,0.002533435821533203,5
Alpha-Beta,Iterative Deepening,56,0.0007061958312988281,5
Iterative Deepening,Alpha-Beta,62,0.0009760856628417969,5
Alpha-Beta,Iterative Deepening,913,0.01792311668395996,4
Iterative Deepening,Alpha-Beta,1127,0.019948244094848633,4
Alpha-Beta,Iterative Deepening,891,0.015668153762817383,4
Iterative Deepening,Alpha-Beta,1110,0.02166581153869629,4
Alpha-Beta,Iterative Deepening,844,0.015281915664672852,4
Iterative Deepening,Alpha-Beta,989,0.02146315574645996,4
Alpha-Beta,Iterative Deepening,490,0.008742570877075195,4
Iterative Deepening,Alpha-Beta,558,0.014921903610229492,4
Alpha-Beta,Iterative Deepening,386,0.007910966873168945,4
Iterative Deepening,Alpha-Beta,608,0.013776063919067383,4
Alpha-Beta,Iterative Deepening,376,0.006386756896972656,4
Iterative Deepening,Alpha-Beta,317,0.005370616912841797,4
Alpha-Beta,Iterative Deepening,110,0.0019752979278564453,4
Iterative Deepening,Alpha-Beta,406,0.008472681045532227,4
Alpha-Beta,Iterative Deepening,283,0.006132841110229492,4
Iterative Deepening,Alpha-Beta,518,0.02161860466003418,4
Alpha-Beta,Iterative Deepening,262,0.005839109420776367,4
Iterative Deepening,Alpha-Beta,496,0.010071277618408203,4
Alpha-Beta,Iterative Deepening,141,0.0034987926483154297,4
Iterative Deepening,Alpha-Beta,252,0.005556583404541016,4
Alpha-Beta,Iterative Deepening,130,0.002641439437866211,4
Iterative Deepening,Alpha-Beta,255,0.0069386959075927734,4
Alpha-Beta,Iterative Deepening,97,0.0013613700866699219,4
Iterative Deepening,Alpha-Beta,154,0.0025603771209716797,4
Alpha-Beta,Iterative Deepening,101,0.0016355514526367188,4
Iterative Deepening,Alpha-Beta,155,0.0032660961151123047,4
Alpha-Beta,Iterative Deepening,96,0.001295328140258789,4
Iterative Deepening,Alpha-Beta,149,0.0027217864990234375,4
Alpha-Beta,Iterative Deepening,80,0.001981496810913086,4
Iterative Deepening,Alpha-Beta,84,0.0013298988342285156,4
Alpha-Beta,Iterative Deepening,48,0.0016264915466308594,4
Iterative Deepening,Alpha-Beta,83,0.0013489723205566406,4
Alpha-Beta,Iterative Deepening,43,0.0006265640258789062,4
Iterative Deepening,Alpha-Beta,61,0.0009291172027587891,4
Alpha-Beta,Iterative Deepening,15,0.00023174285888671875,4
Iterative Deepening,Alpha-Beta,35,0.0005719661712646484,4
Alpha-Beta,Iterative Deepening,14,0.0005075931549072266,4
Iterative Deepening,Alpha-Beta,12,0.00018334388732910156,4
Alpha-Beta,Iterative Deepening,174,0.0025784969329833984,3
Iterative Deepening,Alpha-Beta,280,0.004402875900268555,3
Alpha-Beta,Iterative Deepening,257,0.004267215728759766,3
Iterative Deepening,Alpha-Beta,297,0.004785299301147461,3
Alpha-Beta,Iterative Deepening,237,0.004522085189819336,3
Iterative Deepening,Alpha-Beta,217,0.0038604736328125,3
Alpha-Beta,Iterative Deepening,129,0.002323150634765625,3
Iterative Deepening,Alpha-Beta,164,0.0026886463165283203,3
Alpha-Beta,Iterative Deepening,78,0.0012722015380859375,3
Iterative Deepening,Alpha-Beta,63,0.0009458065032958984,3
Alpha-Beta,Iterative Deepening,117,0.0020601749420166016,3
Alpha-Beta,Iterative Deepening,42,0.0007064342498779297,2
Iterative Deepening,Alpha-Beta,45,0.0007450580596923828,2
Alpha-Beta,Iterative Deepening,31,0.0005445480346679688,2
Iterative Deepening,Alpha-Beta,38,0.0006525516510009766,2
Alpha-Beta,Iterative Deepening,34,0.0006644725799560547,2
Iterative Deepening,Alpha-Beta,49,0.0018355846405029297,2
Alpha-Beta,Iterative Deepening,32,0.0005331039428710938,2
Iterative Deepening,Alpha-Beta,35,0.000804901123046875,2
Alpha-Beta,Iterative Deepening,26,0.0006341934204101562,2
Iterative Deepening,Alpha-Beta,31,0.0007803440093994141,2
Alpha-Beta,Iterative Deepening,25,0.0005245208740234375,2
Iterative Deepening,Alpha-Beta,36,0.0008864402770996094,2
Alpha-Beta,Iterative Deepening,23,0.0006997585296630859,2
Iterative Deepening,Alpha-Beta,21,0.0003619194030761719,2
Alpha-Beta,Iterative Deepening,18,0.00035858154296875,2
